,FECHA_DOC,DESCR,COSTO_UNITARIO
121,2022-02-02,"BOQUILLA 11/2X1""1/2"" 300W 240V""",220.0
122,2022-02-02,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",492.92
123,2022-02-02,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",13.38
124,2022-02-02,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL",174.76
125,2022-02-02,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,0.0
126,2022-02-02,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,246.94
127,2022-02-03,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",90.18
128,2022-02-03,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT",156.83
129,2022-02-03,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",0.0
130,2022-02-03,"TUB INOX 7/16""ØX26CM 1100W127V BUSH",0.0
131,2022-02-03,"CAS INOX 1/2""ØX5"" 750W127V EXT.30CM",0.0
132,2022-02-03,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL TAP",130.78
133,2022-02-03,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL PLA",134.36
134,2022-02-04,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",189.47
135,2022-02-04,"BOQUILLA 2X2""  350W 240V""",220.0
136,2022-02-04,"TUB COBRE 5/16""ØX225MM 2400W115V TAP",395.14
137,2022-02-04,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP",141.65
138,2022-02-08,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""",526.27
139,2022-02-08,"BN 3""ØX5""ANCHO 1000W 220V CIERRE STD",0.0
140,2022-02-08,PISTOLA DE AIRE 3500W 220V,96.78
141,2022-02-08,"TUB INOX 5/8""ØX150CM 2590W 256V REC/ALET",533.27
142,2022-02-08,"PT-100 3/16""ØX 1 1/2"" CON 3/8""-A1/2""NPT",319.99
143,2022-02-08,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA",0.0
144,2022-02-09,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",168.4
145,2022-02-09,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",0.0
146,2022-02-09,"TEA K"" 18mmØx540mm CABEZA MARINA""",0.0
147,2022-02-09,"TUB ""U"" 8mmØx650mm 10kW 440V 2pz TAPON",0.0
148,2022-02-09,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°",78.83
149,2022-02-10,"RC 3/8""ØX175MM 375W125V EXT25CM",0.0
150,2022-02-10,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",0.0
151,2022-02-10,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",0.0
152,2022-02-10,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",222.0
153,2022-02-10,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",113.59
154,2022-02-11,"CBS INOX 5/8""ØX13"" 1700W 240V EXT.30CM",153.97
155,2022-02-11,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,112.64
156,2022-02-11,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,87.1
157,2022-02-11,"CBS INOX 3/8""ØX90CM 1300W 240V EXT.1MT",0.0
158,2022-02-11,"TER K 3/16""ØX1 1/2"" EXT.3MT MALLA S/ZAP",0.0
159,2022-02-14,BN INOX 111MMØX85MM 1000W127V CIERRE STD,182.75
160,2022-02-14,"CAS INOX 3/8""ØX7"" 500W 127V EXT1MT",0.0
161,2022-02-14,"CAS INOX 3/8""ØX8"" 500W 127V EXT1MT",0.0
162,2022-02-14,BAN M/LUNA 129MMØX99MM 450W440V C/STD TO,36.92
163,2022-02-14,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,299.62
164,2022-02-14,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,31.72
165,2022-02-14,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,155.39
166,2022-02-14,BAN P COMUN 197MMX31CM 2000W440V 4BA TOR,145.21
167,2022-02-14,BAN A/COMUN 263mmØx115mm 2800W 220V STD,150.74
168,2022-02-14,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",17.39
169,2022-02-14,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,106.55
170,2022-02-14,CAM INOX 12.5MMØX100MM 750W 240V EXT30CM,0.0
171,2022-02-14,REPARACION DE PLANCHA 4500W 240V ESP,0.0
172,2022-02-15,"TUB INOX 1/4""ØX50CM 400W127V RECTA T/TOR",0.0
173,2022-02-15,"TUB INOX 5/16""Øx335mm. U 7600W 230V PLAQ",0.0
174,2022-02-15,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",0.0
175,2022-02-16,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,51.36
176,2022-02-16,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",98.64
177,2022-02-16,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",1214.3
178,2022-02-16,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",0.0
179,2022-02-17,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",431.83
180,,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",124.0
181,2022-02-17,"TUB INOX 1/4""Øx1500mm 3000W 230V BUSHING",175.18
182,2022-02-17,REPARACION DE HORNO 780W 120V MAR-VULCAN,12.4
183,2022-02-17,BOB DSD CAL.6 86MMØX713MM U 48KW440V GA,0.0
